specobjid,plate,mjd,fiberid,obj_class,redshift,snMedian
699281183405533184,621,52055,354,GALAXY,0.06494017,29.25945
5067930386304358400,4501,55590,927,STAR,0.0006041307,21.93228
3737018553677750272,3319,54915,570,STAR,0.000551355,85.60214
2559172474625353728,2273,53709,7,GALAXY,0.06625697,8.035048
8693186553911203840,7721,57360,412,QSO,1.83798,41.46906
585618897915373568,520,52288,549,GALAXY,0.08398697,16.24067
2584098953402279936,2295,53734,577,GALAXY,0.1331154,11.25716
5342608187198822400,4745,55892,775,STAR,0.0003281021,21.49248
1306102485793925120,1160,52674,213,GALAXY,0.1246948,24.8351
872617546283509760,775,52295,164,GALAXY,0.09486736,13.06327
4573470932849678336,4062,55383,238,GALAXY,0.2780015,12.00855
1209281695287633920,1074,52937,237,GALAXY,0.1552691,7.874742
2155033782032295936,1914,53729,223,STAR,-1.773239e-05,50.71701
5655547887591118848,5023,55858,555,STAR,-0.0001344175,15.19596
3753877090789859328,3334,54927,461,STAR,0.0001539548,53.99677
3569140719362875392,3170,54859,138,STAR,-1.868987e-05,11.71383
1090039925325195264,968,52412,614,GALAXY,0.08023043,15.04599
2736059982934992896,2430,53815,448,GALAXY,0.06006553,24.71809
7586454417572124672,6738,56424,512,STAR,-0.0002173604,23.04696
5125358708189321216,4552,55884,954,GALAXY,0.2426065,9.49283
3736974023456825344,3319,54915,408,STAR,0.0003813012,47.8392
2356575914164250624,2093,53818,245,GALAXY,0.07923394,12.87074
4519450831209388032,4014,55630,322,GALAXY,0.2667646,9.911081
8564841653428574208,7607,56902,440,STAR,-0.0001543949,9.110054
3253953060770179072,2890,54495,372,STAR,6.499919e-05,55.80712
2406068512452798464,2137,54206,74,GALAXY,0.1226195,16.13359
3536579234761908224,3141,55008,464,STAR,2.989067e-05,42.82182
7336600847986743296,6516,56571,862,GALAXY,0.2678466,10.64662
7100036522620246016,6306,56535,406,STAR,-0.0001735488,37.02306
2922910445780101120,2596,54207,270,GALAXY,0.04403894,8.545163
7308428882256091136,6491,56337,773,GALAXY,0.3109067,10.32463
8632488567946631168,7667,57580,778,STAR,-4.735538e-05,18.42632
6098076581175252992,5416,56002,737,QSO,2.510648,10.40138
9073712968731219968,8059,57895,311,QSO,2.180199,5.040019
1459302118648211456,1296,52962,494,GALAXY,0.0824277,11.63373
1929920042749683712,1714,53521,464,GALAXY,0.05265291,8.873352
8308247522171967488,7379,56713,844,STAR,-0.0001002272,21.03042
1257669826764105728,1117,52885,144,STAR,7.503658e-05,25.3629
2015391684602390528,1790,53876,112,GALAXY,0.2259243,13.92466
2914977468832049152,2589,54174,82,GALAXY,0.06842465,21.18573
2289030710108907520,2033,53476,277,GALAXY,0.05547183,7.435335
2191161804992833536,1946,53432,584,GALAXY,0.2928127,7.787031
2943189018206038016,2614,54481,315,GALAXY,0.06429117,14.23803
9444083728597145600,8388,57488,128,QSO,1.890842,6.658414
3105399694478567424,2758,54523,610,GALAXY,0.1873925,16.73711
12726171033255827456,11303,58428,452,QSO,1.560803,5.882114
2946503496360290304,2617,54502,85,GALAXY,0.09246452,23.14182
1275759818509936640,1133,52993,419,STAR,-0.0001791134,56.90339
9334905795744389120,8291,57391,253,QSO,0.502893,8.146364
1178950289223346176,1047,52733,484,GALAXY,0.009796484,27.26003
2589730925965240320,2300,53682,586,STAR,-0.0003398468,46.30746
2156165727290157056,1915,53612,245,STAR,-0.0003915085,22.58136
2829522874811836416,2513,54141,496,GALAXY,0.03766944,11.19028
310811628234893312,276,51909,230,GALAXY,0.1526764,14.07364
3302354114427512832,2933,54617,326,STAR,6.580307e-05,28.60029
2541313930261719040,2257,53612,574,STAR,-0.0004730671,28.8748
1585366347104151552,1408,52822,361,GALAXY,0.1392224,9.206223
3621068730219470848,3216,54908,635,STAR,-2.336442e-05,21.08982
1876922206374619136,1667,53430,171,GALAXY,0.192842,9.913497
1621389650960607232,1440,53084,341,GALAXY,0.09663676,12.55457
2931867072147253248,2604,54484,86,GALAXY,0.1774181,15.7398
1885950846710081536,1675,53466,249,GALAXY,0.1412924,7.567091
